sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
16 17 LeftSmaller PercIExp Prime_1A Target_6N EaHBjDm iHaehml Incongruent right error Normal 341
16 18 LeftSmaller PercIExp Prime_4N Target_6N AaEIdbB kjAGlMI Incongruent right error Normal 650
16 19 LeftSmaller PercIExp Prime_9N Target_6A DehaLJF mibdChj Congruent right correct Normal 567
16 20 LeftSmaller PercIExp Prime_9A Target_1N BCiblKG lkbHjEe Incongruent left error Normal 268
16 21 LeftSmaller PercIExp Prime_6A Target_1A aHmKkMe cLHbkCj Incongruent right correct Normal 270
16 22 LeftSmaller PercIExp Prime_6N Target_9N jCIdMBL DgdhKLm Congruent left error Normal 193
16 23 LeftSmaller PercIExp Prime_9A Target_9N mMHgaAK fABjhag Congruent right correct Normal 158
16 24 LeftSmaller PercIExp Prime_9N Target_1N cgFLahK cIGEaCF Incongruent right correct Normal 164
16 25 LeftSmaller PercIExp Prime_1A Target_1A lMdBLbE FajHACb Congruent left correct Normal 178
16 26 LeftSmaller PercIExp Prime_6A Target_1N hGcklij bmfIljH Incongruent right correct Early 60
16 27 LeftSmaller PercIExp Prime_9A Target_4A LIdBmkl kDjdJGE Incongruent right correct Normal 324
16 28 LeftSmaller PercIExp Prime_9A Target_4N DlaMjed CHeMdKk Incongruent left error Normal 650
16 29 LeftSmaller PercIExp Prime_6N Target_1N cmdCMHI cLFdJMa Incongruent right correct Normal 843
16 30 LeftSmaller PercIExp Prime_1N Target_6N kbEMdKH hEHfdkM Incongruent right error Normal 549
16 31 LeftSmaller PercIExp Prime_1A Target_1N mfklEea IiGClKF Congruent left correct Normal 488
16 32 LeftSmaller PercIExp Prime_9A Target_6A KgjhbAC EmljKbk Congruent right correct Normal 528
16 33 LeftSmaller PercIExp Prime_4A Target_1A IcJmglh hLCKgml Congruent right error Normal 538
16 34 LeftSmaller PercIExp Prime_6A Target_9N kAhDEHc BKmdHML Congruent right correct Normal 554
16 35 LeftSmaller PercIExp Prime_4N Target_9N EcdlBbg haEgFlk Incongruent right error Normal 448
16 36 LeftSmaller PercIExp Prime_4N Target_4A MdGkAFK LMmFcAb Congruent right error Early 91
16 37 LeftSmaller PercIExp Prime_4A Target_6N diGJKjA FLJIdmE Incongruent left correct Normal 160
16 38 LeftSmaller PercIExp Prime_1A Target_4A bEHCGJL Hkcehdf Congruent left correct Normal 113
16 39 LeftSmaller PercIExp Prime_6A Target_9A HBjleMG GFgMeIB Congruent right correct Normal 281
16 40 LeftSmaller PercIExp Prime_4A Target_4N JdBgGca lIaegiE Congruent left correct Normal 174
16 41 LeftSmaller PercIExp Prime_9N Target_6N GcDbJHF eBhDHmj Congruent left error Normal 127
16 42 LeftSmaller PercIExp Prime_1N Target_4N bJEgmBe hJAkGim Congruent right error Normal 135
16 43 LeftSmaller PercIExp Prime_6N Target_1A EIgAjlK EdJMiLB Incongruent left error Normal 143
16 44 LeftSmaller PercIExp Prime_9N Target_4A DAbcLkB lDmLCcj Incongruent right correct Early 95
16 45 LeftSmaller PercIExp Prime_1N Target_4A JHlfLIE mJAdBhk Congruent right error Normal 208
16 46 LeftSmaller PercIExp Prime_1N Target_1A fgBKEcI IHCKamB Congruent left correct Early 89
16 47 LeftSmaller PercIExp Prime_6N Target_9A iEGCaJK HGEBLeD Congruent right correct Normal 139
16 48 LeftSmaller PercIExp Prime_1A Target_6A ldeGJCL dhmjfEI Incongruent right error Normal 147
16 49 LeftSmaller PercIExp Prime_6A Target_6A kgmfLHA bFJclGk Congruent right correct Early 74
16 50 LeftSmaller PercIExp Prime_1N Target_9A EKfmeiC kigCFbf Incongruent right error Normal 586
16 51 LeftSmaller PercIExp Prime_1A Target_4N DacLHjb KgbCmDd Congruent left correct Normal 349
16 52 LeftSmaller PercIExp Prime_1N Target_9N JIgdLhD KmGAIMF Incongruent right error Normal 473
16 53 LeftSmaller PercIExp Prime_4N Target_4N fLJlMGI DcFHCfe Congruent right error Normal 303
16 54 LeftSmaller PercIExp Prime_9A Target_6N AhaeDGH bDBjalh Congruent left error Normal 387
16 55 LeftSmaller PercIExp Prime_1N Target_1N EDAaCFf kBFDhLd Congruent left correct Normal 223
16 56 LeftSmaller PercIExp Prime_4N Target_6A DlibIBg hDHEFKb Incongruent right error Early 77
16 57 LeftSmaller PercIExp Prime_1A Target_9A cAmkDaM lceAIfa Incongruent left correct Normal 277
16 58 LeftSmaller PercIExp Prime_9N Target_1A jAChKDd ICLKGib Incongruent right correct Normal 353
16 59 LeftSmaller PercIExp Prime_9A Target_9A jaiHGFB LKaiDkA Congruent right correct Normal 183
16 60 LeftSmaller PercIExp Prime_6N Target_4A jeHLElI eMbmhDF Incongruent right correct Normal 136
16 61 LeftSmaller PercIExp Prime_6A Target_4A jgIBJLH IALdjki Incongruent right correct Normal 166
